kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K04435.01,10.8615,0.0981,0.84,Rocky (Earth-like),1.069,6328.0,1.4763,1.1543,1.6646,False,13.517
K04637.01,4.3799,0.0558,0.73,Rocky (Earth-like),1.21,6390.0,5.1196,2.1495,3.0998,False,10.438
K04864.01,5.6649,0.0593,0.78,Rocky (Earth-like),0.865,5888.0,1.3769,1.1147,1.6076,False,13.221
K05034.01,282.5363,0.8657,113.93,Super-Jupiter,1.084,6401.0,2.9945,1.6439,2.3707,False,13.252
K05515.01,6.2635,0.0651,6.41,Gas Giant,0.936,6247.0,1.948,1.3259,1.9121,False,13.952
K05521.01,31.5912,0.1953,12.22,Super-Jupiter,0.995,5178.0,3.3971,1.751,2.5251,False,13.687
K05797.01,2.0375,0.0338,138.63,Super-Jupiter,1.244,6456.0,6.5886,2.4385,3.5166,False,12.22
K06101.01,17.734,0.1286,61.64,Super-Jupiter,0.901,5892.0,1.0028,0.9513,1.3719,False,12.553
K06103.02,122.8056,0.4896,1.99,Super-Earth,1.038,6109.0,1.737,1.2521,1.8056,False,13.436
K06219.01,21.0255,0.159,105.44,Super-Jupiter,1.213,6632.0,5.9725,2.3217,3.3481,False,13.079
K06401.01,1.961,0.0331,9.0,Gas Giant,1.258,6613.0,3.3823,1.7471,2.5196,False,13.749
K04245.01,24.6686,0.1777,1.94,Super-Earth,1.23,6028.0,2.7659,1.5799,2.2784,False,13.572
K04341.01,10.7783,0.0973,1.29,Super-Earth,1.057,6734.0,2.9663,1.6362,2.3595,False,13.264
K04345.01,4.3271,0.0483,45.8,Super-Jupiter,0.804,5776.0,2.1141,1.3813,1.992,False,13.404
K04647.01,37.9046,0.2239,2.18,Mini-Neptune,1.042,5303.0,2.7369,1.5716,2.2665,False,13.726
K04647.02,12.0087,0.1041,1.77,Super-Earth,1.042,5303.0,2.7369,1.5716,2.2665,False,13.726
K04871.01,4.0819,0.0509,0.65,Rocky (Earth-like),1.056,6532.0,2.5398,1.514,2.1833,False,13.05
K05052.01,155.0453,0.6935,24518.8,Super-Jupiter,1.851,6910.0,15.3233,3.7188,5.3629,False,12.649
K05287.01,3.9891,0.0725,28.29,Super-Jupiter,3.192,4998.0,146.6924,11.5061,16.593,False,13.56
K05529.01,70.3359,0.3356,39.48,Super-Jupiter,1.019,6082.0,2.0939,1.3747,1.9824,False,11.701
K05543.01,7.415,0.1115,51.51,Super-Jupiter,3.366,4989.0,185.4517,12.9372,18.6567,False,13.56
K05804.01,1.428,0.0248,15.82,Super-Jupiter,1.0,6099.0,1.0485,0.9728,1.4028,False,13.731
K05814.01,25.2852,0.1713,86.24,Super-Jupiter,1.048,6475.0,3.4825,1.7728,2.5566,False,12.138
K06019.01,19.7416,0.1564,89.59,Super-Jupiter,1.309,6508.0,4.2134,1.95,2.8121,False,10.543
K06109.01,22.9134,0.182,163.59,Super-Jupiter,1.531,6620.0,12.0187,3.2935,4.7495,False,11.856
K06112.01,2.243,0.0327,91.85,Super-Jupiter,0.923,6181.0,2.7306,1.5698,2.2639,False,12.785
K06320.01,22.8026,0.1487,2.36,Mini-Neptune,0.843,5011.0,6.2504,2.3751,3.4251,False,13.124
K06409.01,19.9311,0.1589,2.42,Mini-Neptune,1.348,5500.0,5.0943,2.1442,3.0922,False,13.37
K06410.01,2.5347,0.0362,30.76,Super-Jupiter,0.986,6395.0,2.0682,1.3662,1.9702,False,13.92
K04251.01,6.2397,0.0653,1.78,Super-Earth,0.956,5751.0,1.2822,1.0757,1.5513,False,13.795
K04443.01,5.6758,0.0678,1.06,Rocky (Earth-like),1.292,6678.0,3.6641,1.8185,2.6224,False,13.802
