kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner,ESI,hz_center (AU),dist_from_hz_center (AU),hz_widths_from_center,radius_diff
7673192,K02722.05,16.5339,14.9176,9.78,650.25241,0.1327,1.21,Rocky,1.14,6522.0,2.3964,1.4706,2.1208,False,1,13.268,6000-7000K (F dwarf),1.3379,0.2956,1.7957,1.663,2.558,0.20999999999999996
8121310,K00317.02,11.5059,11.1,3.53,197.18399,0.1095,0.99,Rocky,1.324,6336.0,2.8462,1.6027,2.3113,False,1,12.885,6000-7000K (F dwarf),1.4932,0.2945,1.957,1.8475000000000001,2.607,0.010000000000000009
10967168,K05845.01,22.266,9.3173,16.31,1136.53397,0.1717,1.18,Rocky,1.363,6888.0,4.4957,2.0143,2.9048,False,1,11.299,6000-7000K (F dwarf),1.8426,0.2939,2.45955,2.28785,2.569,0.17999999999999994
3866536,K04423.01,7.6521,3.8,0.68,713.13838,0.0764,0.8,Rocky,1.014,6312.0,1.2853,1.077,1.5532,False,1,13.099,6000-7000K (F dwarf),1.0006,0.2892,1.3151,1.2387,2.601,0.19999999999999996
11856178,K06246.01,9.1331,3.8,16.79,1202492.82016,0.0867,1.46,Super-Earth,1.041,6122.0,1.1712,1.0281,1.4826,False,1,11.767,6000-7000K (F dwarf),0.9414,0.2887,1.25535,1.16865,2.571,0.45999999999999996
10399321,K04556.01,21.5809,30.9723,4.32,287.9343,0.1554,1.43,Super-Earth,1.074,5790.0,4.2873,1.967,2.8367,False,1,11.981,5000-6000K (G dwarf),1.8116,0.2887,2.40185,2.24645,2.583,0.42999999999999994
8806985,K04588.01,7.5374,3.9,3.48,27.64001,0.0802,1.0,Rocky,1.211,6483.0,3.2636,1.7162,2.475,False,1,12.912,6000-7000K (F dwarf),1.636,0.2878,2.0956,2.0154,2.656,0.0
10928043,K01315.01,6.8464,8.8,14.31,104.37455,0.0739,1.32,Super-Earth,1.149,6029.0,1.3044,1.085,1.5647,False,1,13.137,6000-7000K (F dwarf),1.0111,0.2873,1.32485,1.25095,2.608,0.32000000000000006
4548098,K04157.02,5.2158,2.85,9.28,117.55972,0.0628,0.83,Rocky,1.213,6202.0,1.6711,1.2281,1.771,False,1,12.692,6000-7000K (F dwarf),1.1653,0.2845,1.49955,1.43675,2.646,0.17000000000000004
6307083,K02050.02,3.178,5.9,7.17,5385.40643,0.0392,0.74,Rocky,0.793,5061.0,0.4163,0.613,0.884,False,1,12.218,5000-6000K (G dwarf),0.5738,0.2839,0.7484999999999999,0.7092999999999999,2.617,0.26
9397900,K07169.01,10.5114,10.3,2.01,14.17405,0.0996,0.75,Rocky,1.191,6587.0,2.9698,1.6371,2.3609,False,1,12.931,6000-7000K (F dwarf),1.5375,0.2835,1.999,1.8994000000000002,2.624,0.25
8212002,K02593.02,9.5539,8.3,13.12,255.77553,0.0948,0.68,Rocky,1.244,6175.0,2.2284,1.4181,2.0451,False,1,11.714,6000-7000K (F dwarf),1.3233,0.2832,1.7316,1.6368,2.611,0.31999999999999995
3109550,K03225.01,4.8755,2.45,0.5,77.83244,0.0546,0.8,Rocky,0.911,5513.0,1.3706,1.1122,1.6039,False,1,12.207,5000-6000K (G dwarf),1.0576,0.2831,1.35805,1.30345,2.651,0.19999999999999996
3547178,K06342.01,8.1771,15.05,7.97,908.51482,0.0799,0.78,Rocky,1.017,6501.0,2.3424,1.454,2.0968,False,1,12.419,6000-7000K (F dwarf),1.3741,0.2831,1.7753999999999999,1.6954999999999998,2.638,0.21999999999999997
4996057,K07712.01,4.8302,4.4,8.91,101.8238,0.0535,1.06,Rocky,0.877,5086.0,3.0311,1.654,2.3852,False,1,11.994,5000-6000K (G dwarf),1.6005,0.2817,2.0196,1.9661,2.689,0.06000000000000005
9283156,K02657.01,5.224,2.3,11.95,11.87269,0.0555,0.58,Rocky,0.837,5487.0,0.5738,0.7196,1.0378,False,1,12.869,5000-6000K (G dwarf),0.6641,0.2812,0.8787,0.8232,2.587,0.42000000000000004
9459162,K04818.01,3.7989,4.15,9.24,582.88356,0.0525,1.02,Rocky,1.338,6828.0,3.8496,1.8639,2.688,False,1,13.008,6000-7000K (F dwarf),1.8114,0.2809,2.27595,2.2234499999999997,2.698,0.020000000000000018
4770174,K02971.01,6.096,5.35,12.24,782.20871,0.0717,1.26,Super-Earth,1.325,6313.0,3.0669,1.6637,2.3992,False,1,12.742,6000-7000K (F dwarf),1.592,0.2805,2.03145,1.9597499999999999,2.665,0.26
9872292,K01537.01,10.1915,9.35,8.26,418.74163,0.0966,1.39,Super-Earth,1.156,6212.0,3.7888,1.8492,2.6667,False,1,11.74,6000-7000K (F dwarf),1.7526,0.2805,2.25795,2.16135,2.644,0.3899999999999999
8227464,K06994.01,4.2591,7.0,9.57,47.92716,0.0515,0.83,Rocky,1.002,5858.0,2.5943,1.5302,2.2066,False,1,12.832,5000-6000K (G dwarf),1.4787,0.2801,1.8683999999999998,1.8168999999999997,2.686,0.17000000000000004
7106173,K03083.02,6.2321,12.05,3.32,120.68485,0.0691,0.61,Rocky,1.131,5843.0,1.2288,1.0531,1.5187,False,1,12.857,5000-6000K (G dwarf),0.984,0.28,1.2858999999999998,1.2167999999999999,2.613,0.39
6198182,K02636.02,5.1777,6.75,13.09,2235.91205,0.0592,0.63,Rocky,1.03,5854.0,1.0099,0.9547,1.3767,False,1,12.32,5000-6000K (G dwarf),0.8955,0.2799,1.1657,1.1065,2.622,0.37
4147444,K03880.01,1.8037,4.25,17.81,652183.4506,0.0295,1.03,Rocky,1.054,6438.0,2.0955,1.3752,1.9832,False,1,10.762,6000-7000K (F dwarf),1.3457,0.2795,1.6792,1.6497,2.713,0.030000000000000027
9579208,K03165.01,4.1176,2.1,2.0,1782.36004,0.0553,1.09,Rocky,1.33,6422.0,5.2229,2.1711,3.131,False,1,10.335,6000-7000K (F dwarf),2.1158,0.2792,2.6510499999999997,2.59575,2.704,0.09000000000000008
12253474,K01947.01,6.4229,7.3,13.66,748.90713,0.0687,1.66,Super-Earth,1.049,6102.0,1.284,1.0765,1.5524,False,1,12.335,6000-7000K (F dwarf),1.0078,0.2784,1.31445,1.24575,2.618,0.6599999999999999
