kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner
4945877,K01936.01,1.3397,3.25,19.13,543.33289,0.0312,1.2,Rocky,2.256,9436.0,33.2163,5.4752,7.8958,False,1,10.455,>7000K (A star),5.444
11192141,K00977.01,1.3538,1.8,11.36,143200.28946,0.0234,387.97,Super-Jupiter,0.931,4283.0,74.9885,8.2266,11.8636,False,1,10.523,4000-5000K (K dwarf),8.2032
4269252,K06398.01,9.4022,8.2,12.79,31096.34641,0.1069,23.93,Super-Jupiter,1.845,4597.0,77.1243,8.3429,12.0314,False,1,10.59,4000-5000K (K dwarf),8.236
9418619,K06068.01,6.1503,3.3,7.31,1373.42549,0.0874,100.03,Super-Jupiter,2.357,8914.0,46.5624,6.4825,9.3484,False,1,10.622,>7000K (A star),6.3951
2697935,K03853.01,21.5131,21.4968,0.08,64248.25024,0.1754,48558.7,Super-Jupiter,1.554,5081.0,13.8407,3.5343,5.0968,False,1,10.63,5000-6000K (G dwarf),3.3589
7887791,K01964.01,2.2293,3.4,1.67,45.2564,0.0324,0.6,Rocky,0.914,5587.0,0.6541,0.7683,1.108,False,1,10.687,5000-6000K (G dwarf),0.7359
5564082,K06600.01,2.7058,5.25,2.99,843673.73929,0.0365,0.69,Rocky,0.884,5992.0,1.0681,0.9818,1.4159,False,1,10.715,5000-6000K (G dwarf),0.9453
4147444,K03880.01,1.8037,4.25,17.81,652183.4506,0.0295,1.03,Rocky,1.054,6438.0,2.0955,1.3752,1.9832,False,1,10.762,6000-7000K (F dwarf),1.3457
10191056,K05774.01,1.2137,1.25,2.99,497135.59604,0.0245,105.53,Super-Jupiter,1.337,6782.0,5.8196,2.2918,3.305,False,1,10.811,6000-7000K (F dwarf),2.2673
10514430,K00263.01,20.7194,28.0982,9.59,0.40631,0.1483,2.02,Mini-Neptune,1.014,5820.0,2.0465,1.359,1.9599,False,1,10.821,5000-6000K (G dwarf),1.2107
4769799,K05086.01,21.9287,9.7101,11.44,3274.82441,0.1468,120.99,Super-Jupiter,0.878,5078.0,3.9464,1.8872,2.7216,False,1,10.946,5000-6000K (G dwarf),1.7404
3119256,K02784.01,4.1425,1.8,13.09,6260.86077,0.0509,1.44,Super-Earth,1.027,6788.0,5.8669,2.3011,3.3184,False,1,11.056,6000-7000K (F dwarf),2.2502
4851217,K06460.01,2.4703,1.25,1.2,496625.87813,0.041,98.19,Super-Jupiter,1.501,7012.0,5.9913,2.3253,3.3534,False,1,11.108,>7000K (A star),2.2843
11098013,K02712.01,7.5079,12.0,6.55,14890.07667,0.0825,1.77,Super-Earth,1.329,6408.0,2.7042,1.5622,2.2529,False,1,11.125,6000-7000K (F dwarf),1.4797
8396660,K04407.01,1.3381,3.8,5.34,40.19275,0.0257,0.6,Rocky,1.269,6355.0,2.5459,1.5158,2.186,False,1,11.179,6000-7000K (F dwarf),1.4901
3831523,K06361.01,1.5293,1.55,1.35,1460.04923,0.0281,2.26,Mini-Neptune,1.263,6438.0,7.9143,2.6726,3.8541,False,1,11.268,6000-7000K (F dwarf),2.6445
3439031,K04980.01,2.976,2.95,0.87,4026.69504,0.0417,105.2,Super-Jupiter,1.09,6582.0,3.4242,1.7579,2.5351,False,1,11.287,6000-7000K (F dwarf),1.7162
4160669,K06391.01,2.1835,3.25,0.77,2455.07178,0.0179,7.9,Gas Giant,0.161,3200.0,0.0032,0.0539,0.0777,False,1,11.296,<4000K (M dwarf),0.036
10967168,K05845.01,22.266,9.3173,16.31,1136.53397,0.1717,1.18,Rocky,1.363,6888.0,4.4957,2.0143,2.9048,False,1,11.299,6000-7000K (F dwarf),1.8426
3532985,K05987.01,5.2885,4.95,6.4,21008.03122,0.0793,55.28,Super-Jupiter,2.376,4918.0,44.1253,6.3106,9.1005,False,1,11.317,4000-5000K (K dwarf),6.2313
7625138,K05406.01,5.7197,2.8,2.09,2493.58756,0.067,0.82,Rocky,1.227,6356.0,5.0931,2.144,3.0918,False,1,11.331,6000-7000K (F dwarf),2.077
7255336,K00019.01,1.2032,2.4,0.27,1757.71575,0.0225,33.12,Super-Jupiter,1.045,6218.0,2.4407,1.4842,2.1403,False,1,11.374,6000-7000K (F dwarf),1.4617
5444392,K06578.01,0.7598,0.75,1.29,7337381.90124,0.0159,69.16,Super-Jupiter,0.922,5930.0,0.9658,0.9336,1.3463,False,1,11.378,5000-6000K (G dwarf),0.9177
5391911,K05157.01,0.7821,0.75,4.1,22951.4929,0.0207,21.02,Super-Jupiter,1.939,4475.0,147.3514,11.5319,16.6302,False,1,11.378,4000-5000K (K dwarf),11.5112
